pid,case_id,mode,score,evidence,axes,tcm,intervention
P01-single-A,CASE-001,personalized,3,L1,气化/自噬(AMPK-mTOR); 阴阳-昼夜(CLOCK/BMAL1),气化 / 脾运化（促运化、通腑）,间歇性断食(IF) 4 周
P01-single-A,CASE-003,personalized,3,L1,气化/自噬(AMPK-mTOR); 先天-肾精(表观时钟),辟谷 / 气化重启,模拟禁食(FMD) 3 个月
P01-single-A,CASE-002,personalized,2,L2,气化/自噬(AMPK-mTOR); 阴阳-昼夜(CLOCK/BMAL1),气化 / 节律（子午流注雏形）,间歇性断食 vs 限时进食(TRF) 20 天
P01-single-A,CASE-010,personalized,2,L2,气化/自噬(AMPK-mTOR); 阴阳-昼夜(CLOCK/BMAL1),气化失司 / 血糖波动（未病先防）,连续血糖监测(CGM) 餐后暴露
P01-single-A,CASE-025,personalized,2,L2,气化/自噬(AMPK-mTOR); I,辟谷 / 气化重启（断食激活全身修复信号）,间歇性断食调节外泌体miRNA谱
P01-single-A,CASE-014,personalized,1,L3,气化/自噬(AMPK-mTOR); 气血-线粒体(PGC-1α/SIRT),食物性味：温（四气）· 温中散寒、行气,食疗：生姜（温）
P01-single-A,CASE-020,personalized,1,L3,气化/自噬(AMPK-mTOR); 神-情志(HRV/EEG),食物性味：寒（四气）· 清心安神、健脾,食疗：莲子（寒）
P01-single-A,CASE-004,general,0.9,L1,气血-线粒体(PGC-1α/SIRT); 神-情志(HRV/EEG),导引 / 行气（动则生阳）,规律运动（有氧/HIIT）线粒体适应
P02-single-B,CASE-004,personalized,3,L1,气血-线粒体(PGC-1α/SIRT); 神-情志(HRV/EEG),导引 / 行气（动则生阳）,规律运动（有氧/HIIT）线粒体适应
P02-single-B,CASE-011,personalized,2,L2,气血-线粒体(PGC-1α/SIRT); 神-情志(HRV/EEG),导引 / 调神 / 和气血,太极 / 导引（HRV 与迷走张力）
P02-single-B,CASE-024,personalized,2,L2,气血-线粒体(PGC-1α/SIRT); I,导引 / 气血流通（动则气血周流，外达四肢百骸）,运动诱导外泌体释放（肌肉-脂肪串扰）
P02-single-B,CASE-029,personalized,2,L2,气血-线粒体(PGC-1α/SIRT); I,导引/气血流通(动则气血周流),Exercise-induced exosome release (confirmed 2026)
P02-single-B,CASE-014,personalized,1,L3,气化/自噬(AMPK-mTOR); 气血-线粒体(PGC-1α/SIRT),食物性味：温（四气）· 温中散寒、行气,食疗：生姜（温）
P02-single-B,CASE-018,personalized,1,L3,气血-线粒体(PGC-1α/SIRT); 先天-肾精(表观时钟),食物性味：微寒（四气）· 滋阴养血,食疗：地黄（微寒）
P02-single-B,CASE-001,general,0.9,L1,气化/自噬(AMPK-mTOR); 阴阳-昼夜(CLOCK/BMAL1),气化 / 脾运化（促运化、通腑）,间歇性断食(IF) 4 周
P02-single-B,CASE-003,general,0.9,L1,气化/自噬(AMPK-mTOR); 先天-肾精(表观时钟),辟谷 / 气化重启,模拟禁食(FMD) 3 个月
P03-single-C,CASE-005,personalized,3,L1,络脉-清瘀(senolytics); 正邪-炎症,活血祛瘀 / 通络（清瘀滞）,"Senolytics（Dasatinib+Quercetin, D+Q）IPF 先导"
P03-single-C,CASE-006,personalized,3,L1,络脉-清瘀(senolytics); 先天-肾精(表观时钟),扶正祛瘀 / 延缓衰老,D+Q intermittent dosing (AFFIRM trial)
P03-single-C,CASE-013,personalized,1,L3,络脉-清瘀(senolytics); 正邪-炎症,药食同源 / 活血（食养清瘀）,药食同源 senolytic（槲皮素食源：红洋葱/苹果/茶）
P03-single-C,CASE-026,personalized,1,L3,络脉-清瘀(senolytics); I,药食同源 / 通络载药（经络传输药力）,外泌体递送天然活性成分（姜黄素/槲皮素纳米载体）
P03-single-C,CASE-001,general,0.9,L1,气化/自噬(AMPK-mTOR); 阴阳-昼夜(CLOCK/BMAL1),气化 / 脾运化（促运化、通腑）,间歇性断食(IF) 4 周
P03-single-C,CASE-003,general,0.9,L1,气化/自噬(AMPK-mTOR); 先天-肾精(表观时钟),辟谷 / 气化重启,模拟禁食(FMD) 3 个月
P03-single-C,CASE-004,general,0.9,L1,气血-线粒体(PGC-1α/SIRT); 神-情志(HRV/EEG),导引 / 行气（动则生阳）,规律运动（有氧/HIIT）线粒体适应
P03-single-C,CASE-007,general,0.9,L1,阴阳-昼夜(CLOCK/BMAL1),子午流注 / 阳气当令进食,Early vs Late TRE (12-week RCT)
P04-single-D,CASE-001,personalized,3,L1,气化/自噬(AMPK-mTOR); 阴阳-昼夜(CLOCK/BMAL1),气化 / 脾运化（促运化、通腑）,间歇性断食(IF) 4 周
P04-single-D,CASE-007,personalized,3,L1,阴阳-昼夜(CLOCK/BMAL1),子午流注 / 阳气当令进食,Early vs Late TRE (12-week RCT)
P04-single-D,CASE-008,personalized,3,L1,阴阳-昼夜(CLOCK/BMAL1); 正邪-炎症,节律饮食 / 运化痰湿,16:8 限时进食 4 个月（肝脂）
P04-single-D,CASE-030,personalized,3,L1,阴阳-昼夜(CLOCK/BMAL1); 正邪-炎症,节律饮食/运化痰湿,Intermittent fasting strategies network meta-analysis
P04-single-D,CASE-002,personalized,2,L2,气化/自噬(AMPK-mTOR); 阴阳-昼夜(CLOCK/BMAL1),气化 / 节律（子午流注雏形）,间歇性断食 vs 限时进食(TRF) 20 天
P04-single-D,CASE-009,personalized,2,L2,阴阳-昼夜(CLOCK/BMAL1); 正邪-炎症; 先天-肾精(表观时钟),节律养生 / 扶正,16:8 限时进食 抗衰抗炎（协和/湘雅）
P04-single-D,CASE-010,personalized,2,L2,气化/自噬(AMPK-mTOR); 阴阳-昼夜(CLOCK/BMAL1),气化失司 / 血糖波动（未病先防）,连续血糖监测(CGM) 餐后暴露
P04-single-D,CASE-022,personalized,2,L2,阴阳-昼夜(CLOCK/BMAL1),昼夜养护：夜卧避光、敛阳入阴（D轴阴阳-昼夜轴·保护性实证）,避蓝光：夜间(睡前4h)避免短波蓝光暴露（发光eBook/手机屏 vs 印刷书）
P05-single-E,CASE-012,personalized,2,L2,脏腑-神经内分泌; 神-情志(HRV/EEG),调息 / 安神 / 疏肝,冥想 / 呼吸训练（HRV、压力）
P05-single-E,CASE-024,personalized,2,L2,脏腑-神经内分泌; 正邪-炎症; 神-情志(HRV/EEG),针灸/针刺 足三里——扶正祛邪、疏通经络、调和气血（F/E/G 轴机制实证）,"电针足三里(ST36, 0.5 mA)抗炎"
P05-single-E,CASE-001,general,0.9,L1,气化/自噬(AMPK-mTOR); 阴阳-昼夜(CLOCK/BMAL1),气化 / 脾运化（促运化、通腑）,间歇性断食(IF) 4 周
P05-single-E,CASE-003,general,0.9,L1,气化/自噬(AMPK-mTOR); 先天-肾精(表观时钟),辟谷 / 气化重启,模拟禁食(FMD) 3 个月
P05-single-E,CASE-004,general,0.9,L1,气血-线粒体(PGC-1α/SIRT); 神-情志(HRV/EEG),导引 / 行气（动则生阳）,规律运动（有氧/HIIT）线粒体适应
P05-single-E,CASE-005,general,0.9,L1,络脉-清瘀(senolytics); 正邪-炎症,活血祛瘀 / 通络（清瘀滞）,"Senolytics（Dasatinib+Quercetin, D+Q）IPF 先导"
P05-single-E,CASE-006,general,0.9,L1,络脉-清瘀(senolytics); 先天-肾精(表观时钟),扶正祛瘀 / 延缓衰老,D+Q intermittent dosing (AFFIRM trial)
